#TYPE System.TimeSpan
"Ticks";"Days";"Hours";"Milliseconds";"Minutes";"Seconds";"TotalDays";"TotalHours";"TotalMilliseconds";"TotalMinutes";"TotalSeconds"
"227106841";"0";"0";"710";"0";"22";"0,000262855140046296";"0,00630852336111111";"22710,6841";"0,378511401666667";"22,7106841"
"227622862";"0";"0";"762";"0";"22";"0,000263452386574074";"0,00632285727777778";"22762,2862";"0,379371436666667";"22,7622862"
"226126759";"0";"0";"612";"0";"22";"0,00026172078587963";"0,00628129886111111";"22612,6759";"0,376877931666667";"22,6126759"
"7781102";"0";"0";"778";"0";"0";"9,00590509259259E-06";"0,000216141722222222";"778,1102";"0,0129685033333333";"0,7781102"
"7614819";"0";"0";"761";"0";"0";"8,81344791666667E-06";"0,00021152275";"761,4819";"0,012691365";"0,7614819"
"7966149";"0";"0";"796";"0";"0";"9,22007986111111E-06";"0,000221281916666667";"796,6149";"0,013276915";"0,7966149"
"7719489";"0";"0";"771";"0";"0";"8,93459375E-06";"0,00021443025";"771,9489";"0,012865815";"0,7719489"
"7733207";"0";"0";"773";"0";"0";"8,95047106481481E-06";"0,000214811305555556";"773,3207";"0,0128886783333333";"0,7733207"
"7635694";"0";"0";"763";"0";"0";"8,8376087962963E-06";"0,000212102611111111";"763,5694";"0,0127261566666667";"0,7635694"
"7713570";"0";"0";"771";"0";"0";"8,92774305555555E-06";"0,000214265833333333";"771,357";"0,01285595";"0,771357"
"7724250";"0";"0";"772";"0";"0";"8,94010416666667E-06";"0,0002145625";"772,425";"0,01287375";"0,772425"
"7849341";"0";"0";"784";"0";"0";"9,08488541666667E-06";"0,00021803725";"784,9341";"0,013082235";"0,7849341"
"7715781";"0";"0";"771";"0";"0";"8,93030208333333E-06";"0,00021432725";"771,5781";"0,012859635";"0,7715781"
"7910500";"0";"0";"791";"0";"0";"9,1556712962963E-06";"0,000219736111111111";"791,05";"0,0131841666666667";"0,79105"
"7855993";"0";"0";"785";"0";"0";"9,09258449074074E-06";"0,000218222027777778";"785,5993";"0,0130933216666667";"0,7855993"
"7951796";"0";"0";"795";"0";"0";"9,20346759259259E-06";"0,000220883222222222";"795,1796";"0,0132529933333333";"0,7951796"
"7704153";"0";"0";"770";"0";"0";"8,91684375E-06";"0,00021400425";"770,4153";"0,012840255";"0,7704153"
"7711259";"0";"0";"771";"0";"0";"8,92506828703704E-06";"0,000214201638888889";"771,1259";"0,0128520983333333";"0,7711259"
"7720095";"0";"0";"772";"0";"0";"8,93529513888889E-06";"0,000214447083333333";"772,0095";"0,012866825";"0,7720095"
"7716829";"0";"0";"771";"0";"0";"8,9315150462963E-06";"0,000214356361111111";"771,6829";"0,0128613816666667";"0,7716829"
"7597334";"0";"0";"759";"0";"0";"8,79321064814815E-06";"0,000211037055555556";"759,7334";"0,0126622233333333";"0,7597334"
"7749886";"0";"0";"774";"0";"0";"8,96977546296296E-06";"0,000215274611111111";"774,9886";"0,0129164766666667";"0,7749886"
"7682824";"0";"0";"768";"0";"0";"8,89215740740741E-06";"0,000213411777777778";"768,2824";"0,0128047066666667";"0,7682824"
"7891239";"0";"0";"789";"0";"0";"9,13337847222222E-06";"0,000219201083333333";"789,1239";"0,013152065";"0,7891239"
"7671450";"0";"0";"767";"0";"0";"8,87899305555555E-06";"0,000213095833333333";"767,145";"0,01278575";"0,767145"
"7888966";"0";"0";"788";"0";"0";"9,13074768518518E-06";"0,000219137944444444";"788,8966";"0,0131482766666667";"0,7888966"
"7638527";"0";"0";"763";"0";"0";"8,84088773148148E-06";"0,000212181305555556";"763,8527";"0,0127308783333333";"0,7638527"
"7805603";"0";"0";"780";"0";"0";"9,03426273148148E-06";"0,000216822305555556";"780,5603";"0,0130093383333333";"0,7805603"
"7619496";"0";"0";"761";"0";"0";"8,81886111111111E-06";"0,000211652666666667";"761,9496";"0,01269916";"0,7619496"
"7748235";"0";"0";"774";"0";"0";"8,96786458333333E-06";"0,00021522875";"774,8235";"0,012913725";"0,7748235"
"7770429";"0";"0";"777";"0";"0";"8,99355208333333E-06";"0,00021584525";"777,0429";"0,012950715";"0,7770429"
"7816878";"0";"0";"781";"0";"0";"9,0473125E-06";"0,0002171355";"781,6878";"0,01302813";"0,7816878"
"7582916";"0";"0";"758";"0";"0";"8,77652314814815E-06";"0,000210636555555556";"758,2916";"0,0126381933333333";"0,7582916"
