#TYPE System.Diagnostics.Process
"Name";"SI";"Handles";"VM";"WS";"PM";"NPM";"Path";"Company";"CPU";"FileVersion";"ProductVersion";"Description";"Product";"__NounName";"BasePriority";"ExitCode";"HasExited";"ExitTime";"Handle";"SafeHandle";"HandleCount";"Id";"MachineName";"MainWindowHandle";"MainWindowTitle";"MainModule";"MaxWorkingSet";"MinWorkingSet";"Modules";"NonpagedSystemMemorySize";"NonpagedSystemMemorySize64";"PagedMemorySize";"PagedMemorySize64";"PagedSystemMemorySize";"PagedSystemMemorySize64";"PeakPagedMemorySize";"PeakPagedMemorySize64";"PeakWorkingSet";"PeakWorkingSet64";"PeakVirtualMemorySize";"PeakVirtualMemorySize64";"PriorityBoostEnabled";"PriorityClass";"PrivateMemorySize";"PrivateMemorySize64";"PrivilegedProcessorTime";"ProcessName";"ProcessorAffinity";"Responding";"SessionId";"StartInfo";"StartTime";"SynchronizingObject";"Threads";"TotalProcessorTime";"UserProcessorTime";"VirtualMemorySize";"VirtualMemorySize64";"EnableRaisingEvents";"StandardInput";"StandardOutput";"StandardError";"WorkingSet";"WorkingSet64";"Site";"Container"
"julia";"19";"178";"569229312";"27836416";"143962112";"12144";"C:\Users\tiato\AppData\Local\Programs\Julia 1.5.3\bin\julia.exe";"JuliaLang";"0,3125";"1.5.3";"1.5.3";"Julia Programming Language";"Julia";"Process";"8";;"False";;"3096";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"178";"8632";".";"0";"";"System.Diagnostics.ProcessModule (julia.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"12144";"12144";"143962112";"143962112";"815480";"815480";"196759552";"196759552";"27836416";"27836416";"569229312";"569229312";"True";"Normal";"143962112";"143962112";"00:00:00.2968750";"julia";"15";"True";"19";"System.Diagnostics.ProcessStartInfo";"06/12/2020 14:01:05";;"System.Diagnostics.ProcessThreadCollection";"00:00:00.3281250";"00:00:00.0312500";"569229312";"569229312";"False";;;;"27836416";"27836416";;
"julia";"19";"178";"569229312";"32202752";"143962112";"12144";"C:\Users\tiato\AppData\Local\Programs\Julia 1.5.3\bin\julia.exe";"JuliaLang";"0,390625";"1.5.3";"1.5.3";"Julia Programming Language";"Julia";"Process";"8";;"False";;"3092";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"178";"8632";".";"0";"";"System.Diagnostics.ProcessModule (julia.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"12144";"12144";"143962112";"143962112";"815480";"815480";"196759552";"196759552";"32202752";"32202752";"569229312";"569229312";"True";"Normal";"143962112";"143962112";"00:00:00.3437500";"julia";"15";"True";"19";"System.Diagnostics.ProcessStartInfo";"06/12/2020 14:01:05";;"System.Diagnostics.ProcessThreadCollection";"00:00:00.3906250";"00:00:00.0468750";"569229312";"569229312";"False";;;;"32202752";"32202752";;
"julia";"19";"178";"569229312";"34889728";"143962112";"12144";"C:\Users\tiato\AppData\Local\Programs\Julia 1.5.3\bin\julia.exe";"JuliaLang";"0,40625";"1.5.3";"1.5.3";"Julia Programming Language";"Julia";"Process";"8";;"False";;"3160";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"178";"8632";".";"0";"";"System.Diagnostics.ProcessModule (julia.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"12144";"12144";"143962112";"143962112";"815480";"815480";"196759552";"196759552";"34889728";"34889728";"569229312";"569229312";"True";"Normal";"143962112";"143962112";"00:00:00.3750000";"julia";"15";"True";"19";"System.Diagnostics.ProcessStartInfo";"06/12/2020 14:01:05";;"System.Diagnostics.ProcessThreadCollection";"00:00:00.4218750";"00:00:00.0468750";"569229312";"569229312";"False";;;;"34889728";"34889728";;
"julia";"19";"178";"569229312";"37564416";"143962112";"12144";"C:\Users\tiato\AppData\Local\Programs\Julia 1.5.3\bin\julia.exe";"JuliaLang";"0,453125";"1.5.3";"1.5.3";"Julia Programming Language";"Julia";"Process";"8";;"False";;"3116";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"178";"8632";".";"0";"";"System.Diagnostics.ProcessModule (julia.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"12144";"12144";"143962112";"143962112";"815480";"815480";"196759552";"196759552";"37564416";"37564416";"569229312";"569229312";"True";"Normal";"143962112";"143962112";"00:00:00.4062500";"julia";"15";"True";"19";"System.Diagnostics.ProcessStartInfo";"06/12/2020 14:01:05";;"System.Diagnostics.ProcessThreadCollection";"00:00:00.4531250";"00:00:00.0468750";"569229312";"569229312";"False";;;;"37564416";"37564416";;
"julia";"19";"178";"569229312";"40828928";"143962112";"12144";"C:\Users\tiato\AppData\Local\Programs\Julia 1.5.3\bin\julia.exe";"JuliaLang";"0,484375";"1.5.3";"1.5.3";"Julia Programming Language";"Julia";"Process";"8";;"False";;"3152";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"178";"8632";".";"0";"";"System.Diagnostics.ProcessModule (julia.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"12144";"12144";"143962112";"143962112";"815480";"815480";"196759552";"196759552";"40828928";"40828928";"569229312";"569229312";"True";"Normal";"143962112";"143962112";"00:00:00.4687500";"julia";"15";"True";"19";"System.Diagnostics.ProcessStartInfo";"06/12/2020 14:01:05";;"System.Diagnostics.ProcessThreadCollection";"00:00:00.5156250";"00:00:00.0468750";"569229312";"569229312";"False";;;;"40828928";"40828928";;
"julia";"19";"178";"569229312";"43880448";"143962112";"12144";"C:\Users\tiato\AppData\Local\Programs\Julia 1.5.3\bin\julia.exe";"JuliaLang";"0,5625";"1.5.3";"1.5.3";"Julia Programming Language";"Julia";"Process";"8";;"False";;"3108";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"178";"8632";".";"0";"";"System.Diagnostics.ProcessModule (julia.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"12144";"12144";"143962112";"143962112";"815480";"815480";"196759552";"196759552";"43880448";"43880448";"569229312";"569229312";"True";"Normal";"143962112";"143962112";"00:00:00.5156250";"julia";"15";"True";"19";"System.Diagnostics.ProcessStartInfo";"06/12/2020 14:01:05";;"System.Diagnostics.ProcessThreadCollection";"00:00:00.5625000";"00:00:00.0468750";"569229312";"569229312";"False";;;;"43880448";"43880448";;
"julia";"19";"178";"569229312";"46628864";"143962112";"12144";"C:\Users\tiato\AppData\Local\Programs\Julia 1.5.3\bin\julia.exe";"JuliaLang";"0,578125";"1.5.3";"1.5.3";"Julia Programming Language";"Julia";"Process";"8";;"False";;"3148";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"178";"8632";".";"0";"";"System.Diagnostics.ProcessModule (julia.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"12144";"12144";"143962112";"143962112";"815480";"815480";"196759552";"196759552";"46628864";"46628864";"569229312";"569229312";"True";"Normal";"143962112";"143962112";"00:00:00.5468750";"julia";"15";"True";"19";"System.Diagnostics.ProcessStartInfo";"06/12/2020 14:01:05";;"System.Diagnostics.ProcessThreadCollection";"00:00:00.5937500";"00:00:00.0468750";"569229312";"569229312";"False";;;;"46628864";"46628864";;
"julia";"19";"178";"569229312";"49303552";"143962112";"12144";"C:\Users\tiato\AppData\Local\Programs\Julia 1.5.3\bin\julia.exe";"JuliaLang";"0,59375";"1.5.3";"1.5.3";"Julia Programming Language";"Julia";"Process";"8";;"False";;"3220";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"178";"8632";".";"0";"";"System.Diagnostics.ProcessModule (julia.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"12144";"12144";"143962112";"143962112";"815480";"815480";"196759552";"196759552";"49303552";"49303552";"569229312";"569229312";"True";"Normal";"143962112";"143962112";"00:00:00.5468750";"julia";"15";"True";"19";"System.Diagnostics.ProcessStartInfo";"06/12/2020 14:01:05";;"System.Diagnostics.ProcessThreadCollection";"00:00:00.5937500";"00:00:00.0468750";"569229312";"569229312";"False";;;;"49303552";"49303552";;
"julia";"19";"178";"569229312";"52178944";"143962112";"12144";"C:\Users\tiato\AppData\Local\Programs\Julia 1.5.3\bin\julia.exe";"JuliaLang";"0,625";"1.5.3";"1.5.3";"Julia Programming Language";"Julia";"Process";"8";;"False";;"3116";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"178";"8632";".";"0";"";"System.Diagnostics.ProcessModule (julia.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"12144";"12144";"143962112";"143962112";"815480";"815480";"196759552";"196759552";"52178944";"52178944";"569229312";"569229312";"True";"Normal";"143962112";"143962112";"00:00:00.5781250";"julia";"15";"True";"19";"System.Diagnostics.ProcessStartInfo";"06/12/2020 14:01:05";;"System.Diagnostics.ProcessThreadCollection";"00:00:00.6250000";"00:00:00.0468750";"569229312";"569229312";"False";;;;"52178944";"52178944";;
"julia";"19";"178";"569229312";"54992896";"143962112";"12144";"C:\Users\tiato\AppData\Local\Programs\Julia 1.5.3\bin\julia.exe";"JuliaLang";"0,640625";"1.5.3";"1.5.3";"Julia Programming Language";"Julia";"Process";"8";;"False";;"1092";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"178";"8632";".";"0";"";"System.Diagnostics.ProcessModule (julia.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"12144";"12144";"143962112";"143962112";"815480";"815480";"196759552";"196759552";"54992896";"54992896";"569229312";"569229312";"True";"Normal";"143962112";"143962112";"00:00:00.5937500";"julia";"15";"True";"19";"System.Diagnostics.ProcessStartInfo";"06/12/2020 14:01:05";;"System.Diagnostics.ProcessThreadCollection";"00:00:00.6406250";"00:00:00.0468750";"569229312";"569229312";"False";;;;"54992896";"54992896";;
