#TYPE System.TimeSpan
"Ticks";"Days";"Hours";"Milliseconds";"Minutes";"Seconds";"TotalDays";"TotalHours";"TotalMilliseconds";"TotalMinutes";"TotalSeconds"
"9938146";"0";"0";"993";"0";"0";"1,15024837962963E-05";"0,000276059611111111";"993,8146";"0,0165635766666667";"0,9938146"
"9723483";"0";"0";"972";"0";"0";"1,125403125E-05";"0,00027009675";"972,3483";"0,016205805";"0,9723483"
"10018476";"0";"0";"1";"0";"1";"1,15954583333333E-05";"0,000278291";"1001,8476";"0,01669746";"1,0018476"
"9778428";"0";"0";"977";"0";"0";"1,1317625E-05";"0,000271623";"977,8428";"0,01629738";"0,9778428"
"10043161";"0";"0";"4";"0";"1";"1,16240289351852E-05";"0,000278976694444444";"1004,3161";"0,0167386016666667";"1,0043161"
"9799655";"0";"0";"979";"0";"0";"1,1342193287037E-05";"0,000272212638888889";"979,9655";"0,0163327583333333";"0,9799655"
"9984399";"0";"0";"998";"0";"0";"1,15560173611111E-05";"0,000277344416666667";"998,4399";"0,016640665";"0,9984399"
"9838714";"0";"0";"983";"0";"0";"1,1387400462963E-05";"0,000273297611111111";"983,8714";"0,0163978566666667";"0,9838714"
"10022753";"0";"0";"2";"0";"1";"1,16004085648148E-05";"0,000278409805555556";"1002,2753";"0,0167045883333333";"1,0022753"
"9844465";"0";"0";"984";"0";"0";"1,1394056712963E-05";"0,000273457361111111";"984,4465";"0,0164074416666667";"0,9844465"
"9830575";"0";"0";"983";"0";"0";"1,13779803240741E-05";"0,000273071527777778";"983,0575";"0,0163842916666667";"0,9830575"
"10009585";"0";"0";"0";"0";"1";"1,15851678240741E-05";"0,000278044027777778";"1000,9585";"0,0166826416666667";"1,0009585"
"9942205";"0";"0";"994";"0";"0";"1,1507181712963E-05";"0,000276172361111111";"994,2205";"0,0165703416666667";"0,9942205"
"9828774";"0";"0";"982";"0";"0";"1,13758958333333E-05";"0,0002730215";"982,8774";"0,01638129";"0,9828774"
"9971138";"0";"0";"997";"0";"0";"1,15406689814815E-05";"0,000276976055555556";"997,1138";"0,0166185633333333";"0,9971138"
"9988163";"0";"0";"998";"0";"0";"1,15603738425926E-05";"0,000277448972222222";"998,8163";"0,0166469383333333";"0,9988163"
"10111458";"0";"0";"11";"0";"1";"1,17030763888889E-05";"0,000280873833333333";"1011,1458";"0,01685243";"1,0111458"
"9899329";"0";"0";"989";"0";"0";"1,1457556712963E-05";"0,000274981361111111";"989,9329";"0,0164988816666667";"0,9899329"
"9940718";"0";"0";"994";"0";"0";"1,15054606481481E-05";"0,000276131055555556";"994,0718";"0,0165678633333333";"0,9940718"
"9987429";"0";"0";"998";"0";"0";"1,15595243055556E-05";"0,000277428583333333";"998,7429";"0,016645715";"0,9987429"
"10072921";"0";"0";"7";"0";"1";"1,16584733796296E-05";"0,000279803361111111";"1007,2921";"0,0167882016666667";"1,0072921"
"9832730";"0";"0";"983";"0";"0";"1,1380474537037E-05";"0,000273131388888889";"983,273";"0,0163878833333333";"0,983273"
"10047714";"0";"0";"4";"0";"1";"1,16292986111111E-05";"0,000279103166666667";"1004,7714";"0,01674619";"1,0047714"
"9858429";"0";"0";"985";"0";"0";"1,141021875E-05";"0,00027384525";"985,8429";"0,016430715";"0,9858429"
"9935042";"0";"0";"993";"0";"0";"1,14988912037037E-05";"0,000275973388888889";"993,5042";"0,0165584033333333";"0,9935042"
"9870371";"0";"0";"987";"0";"0";"1,14240405092593E-05";"0,000274176972222222";"987,0371";"0,0164506183333333";"0,9870371"
"9881935";"0";"0";"988";"0";"0";"1,14374247685185E-05";"0,000274498194444444";"988,1935";"0,0164698916666667";"0,9881935"
"9844953";"0";"0";"984";"0";"0";"1,13946215277778E-05";"0,000273470916666667";"984,4953";"0,016408255";"0,9844953"
"9884286";"0";"0";"988";"0";"0";"1,14401458333333E-05";"0,0002745635";"988,4286";"0,01647381";"0,9884286"
"9944730";"0";"0";"994";"0";"0";"1,15101041666667E-05";"0,0002762425";"994,473";"0,01657455";"0,994473"
"9922643";"0";"0";"992";"0";"0";"1,14845405092593E-05";"0,000275628972222222";"992,2643";"0,0165377383333333";"0,9922643"
