#TYPE System.TimeSpan
"Ticks";"Days";"Hours";"Milliseconds";"Minutes";"Seconds";"TotalDays";"TotalHours";"TotalMilliseconds";"TotalMinutes";"TotalSeconds"
"41138720";"0";"0";"113";"0";"4";"4,76142592592593E-05";"0,00114274222222222";"4113,872";"0,0685645333333333";"4,113872"
"43853364";"0";"0";"385";"0";"4";"5,07562083333333E-05";"0,001218149";"4385,3364";"0,07308894";"4,3853364"
"41118097";"0";"0";"111";"0";"4";"4,75903900462963E-05";"0,00114216936111111";"4111,8097";"0,0685301616666667";"4,1118097"
"41128189";"0";"0";"112";"0";"4";"4,76020706018518E-05";"0,00114244969444444";"4112,8189";"0,0685469816666667";"4,1128189"
"41488868";"0";"0";"148";"0";"4";"4,80195231481481E-05";"0,00115246855555556";"4148,8868";"0,0691481133333333";"4,1488868"
"40929521";"0";"0";"92";"0";"4";"4,7372130787037E-05";"0,00113693113888889";"4092,9521";"0,0682158683333333";"4,0929521"
"40973258";"0";"0";"97";"0";"4";"4,74227523148148E-05";"0,00113814605555556";"4097,3258";"0,0682887633333333";"4,0973258"
"42428519";"0";"0";"242";"0";"4";"4,91070821759259E-05";"0,00117856997222222";"4242,8519";"0,0707141983333333";"4,2428519"
"41139025";"0";"0";"113";"0";"4";"4,76146122685185E-05";"0,00114275069444444";"4113,9025";"0,0685650416666667";"4,1139025"
"41241359";"0";"0";"124";"0";"4";"4,77330543981481E-05";"0,00114559330555556";"4124,1359";"0,0687355983333333";"4,1241359"
"41333060";"0";"0";"133";"0";"4";"4,78391898148148E-05";"0,00114814055555556";"4133,306";"0,0688884333333333";"4,133306"
"41032054";"0";"0";"103";"0";"4";"4,74908032407407E-05";"0,00113977927777778";"4103,2054";"0,0683867566666667";"4,1032054"
"41202197";"0";"0";"120";"0";"4";"4,76877280092593E-05";"0,00114450547222222";"4120,2197";"0,0686703283333333";"4,1202197"
"40991231";"0";"0";"99";"0";"4";"4,74435543981481E-05";"0,00113864530555556";"4099,1231";"0,0683187183333333";"4,0991231"
"41520022";"0";"0";"152";"0";"4";"4,80555810185185E-05";"0,00115333394444444";"4152,0022";"0,0692000366666667";"4,1520022"
"41086664";"0";"0";"108";"0";"4";"4,75540092592593E-05";"0,00114129622222222";"4108,6664";"0,0684777733333333";"4,1086664"
"41181680";"0";"0";"118";"0";"4";"4,76639814814815E-05";"0,00114393555555556";"4118,168";"0,0686361333333333";"4,118168"
"41080639";"0";"0";"108";"0";"4";"4,75470358796296E-05";"0,00114112886111111";"4108,0639";"0,0684677316666667";"4,1080639"
"41188177";"0";"0";"118";"0";"4";"4,76715011574074E-05";"0,00114411602777778";"4118,8177";"0,0686469616666667";"4,1188177"
"41002931";"0";"0";"100";"0";"4";"4,74570960648148E-05";"0,00113897030555556";"4100,2931";"0,0683382183333333";"4,1002931"
"41040946";"0";"0";"104";"0";"4";"4,75010949074074E-05";"0,00114002627777778";"4104,0946";"0,0684015766666667";"4,1040946"
"41266790";"0";"0";"126";"0";"4";"4,77624884259259E-05";"0,00114629972222222";"4126,679";"0,0687779833333333";"4,126679"
"41247392";"0";"0";"124";"0";"4";"4,7740037037037E-05";"0,00114576088888889";"4124,7392";"0,0687456533333333";"4,1247392"
"40964161";"0";"0";"96";"0";"4";"4,74122233796296E-05";"0,00113789336111111";"4096,4161";"0,0682736016666667";"4,0964161"
"40934553";"0";"0";"93";"0";"4";"4,73779548611111E-05";"0,00113707091666667";"4093,4553";"0,068224255";"4,0934553"
"40871823";"0";"0";"87";"0";"4";"4,73053506944444E-05";"0,00113532841666667";"4087,1823";"0,068119705";"4,0871823"
"40911862";"0";"0";"91";"0";"4";"4,73516921296296E-05";"0,00113644061111111";"4091,1862";"0,0681864366666667";"4,0911862"
"41197669";"0";"0";"119";"0";"4";"4,76824872685185E-05";"0,00114437969444444";"4119,7669";"0,0686627816666667";"4,1197669"
"40912167";"0";"0";"91";"0";"4";"4,73520451388889E-05";"0,00113644908333333";"4091,2167";"0,068186945";"4,0912167"
"40873651";"0";"0";"87";"0";"4";"4,73074664351852E-05";"0,00113537919444444";"4087,3651";"0,0681227516666667";"4,0873651"
