#TYPE System.TimeSpan
"Ticks";"Days";"Hours";"Milliseconds";"Minutes";"Seconds";"TotalDays";"TotalHours";"TotalMilliseconds";"TotalMinutes";"TotalSeconds"
"5694508";"0";"0";"569";"0";"0";"6,59086574074074E-06";"0,000158180777777778";"569,4508";"0,00949084666666667";"0,5694508"
"5726461";"0";"0";"572";"0";"0";"6,62784837962963E-06";"0,000159068361111111";"572,6461";"0,00954410166666667";"0,5726461"
"5778959";"0";"0";"577";"0";"0";"6,6886099537037E-06";"0,000160526638888889";"577,8959";"0,00963159833333333";"0,5778959"
"5636256";"0";"0";"563";"0";"0";"6,52344444444444E-06";"0,000156562666666667";"563,6256";"0,00939376";"0,5636256"
"5506115";"0";"0";"550";"0";"0";"6,37281828703704E-06";"0,000152947638888889";"550,6115";"0,00917685833333333";"0,5506115"
"5755481";"0";"0";"575";"0";"0";"6,66143634259259E-06";"0,000159874472222222";"575,5481";"0,00959246833333333";"0,5755481"
"5790970";"0";"0";"579";"0";"0";"6,70251157407407E-06";"0,000160860277777778";"579,097";"0,00965161666666667";"0,579097"
"5595620";"0";"0";"559";"0";"0";"6,47641203703704E-06";"0,000155433888888889";"559,562";"0,00932603333333333";"0,559562"
"5611329";"0";"0";"561";"0";"0";"6,49459375E-06";"0,00015587025";"561,1329";"0,009352215";"0,5611329"
"5592709";"0";"0";"559";"0";"0";"6,47304282407407E-06";"0,000155353027777778";"559,2709";"0,00932118166666667";"0,5592709"
"5685050";"0";"0";"568";"0";"0";"6,57991898148148E-06";"0,000157918055555556";"568,505";"0,00947508333333333";"0,568505"
"5627044";"0";"0";"562";"0";"0";"6,51278240740741E-06";"0,000156306777777778";"562,7044";"0,00937840666666667";"0,5627044"
"5595977";"0";"0";"559";"0";"0";"6,47682523148148E-06";"0,000155443805555556";"559,5977";"0,00932662833333333";"0,5595977"
"5641108";"0";"0";"564";"0";"0";"6,52906018518518E-06";"0,000156697444444444";"564,1108";"0,00940184666666667";"0,5641108"
"5963732";"0";"0";"596";"0";"0";"6,90246759259259E-06";"0,000165659222222222";"596,3732";"0,00993955333333333";"0,5963732"
"5977917";"0";"0";"597";"0";"0";"6,91888541666667E-06";"0,00016605325";"597,7917";"0,009963195";"0,5977917"
"6077983";"0";"0";"607";"0";"0";"7,0347025462963E-06";"0,000168832861111111";"607,7983";"0,0101299716666667";"0,6077983"
"5796711";"0";"0";"579";"0";"0";"6,70915625E-06";"0,00016101975";"579,6711";"0,009661185";"0,5796711"
"6018783";"0";"0";"601";"0";"0";"6,96618402777778E-06";"0,000167188416666667";"601,8783";"0,010031305";"0,6018783"
"6337389";"0";"0";"633";"0";"0";"7,33494097222222E-06";"0,000176038583333333";"633,7389";"0,010562315";"0,6337389"
"5830449";"0";"0";"583";"0";"0";"6,74820486111111E-06";"0,000161956916666667";"583,0449";"0,009717415";"0,5830449"
"5937293";"0";"0";"593";"0";"0";"6,87186689814815E-06";"0,000164924805555556";"593,7293";"0,00989548833333333";"0,5937293"
"5686229";"0";"0";"568";"0";"0";"6,58128356481481E-06";"0,000157950805555556";"568,6229";"0,00947704833333333";"0,5686229"
"5550216";"0";"0";"555";"0";"0";"6,42386111111111E-06";"0,000154172666666667";"555,0216";"0,00925036";"0,5550216"
