#TYPE System.Diagnostics.Process
"Name";"SI";"Handles";"VM";"WS";"PM";"NPM";"Path";"Company";"CPU";"FileVersion";"ProductVersion";"Description";"Product";"__NounName";"BasePriority";"ExitCode";"HasExited";"ExitTime";"Handle";"SafeHandle";"HandleCount";"Id";"MachineName";"MainWindowHandle";"MainWindowTitle";"MainModule";"MaxWorkingSet";"MinWorkingSet";"Modules";"NonpagedSystemMemorySize";"NonpagedSystemMemorySize64";"PagedMemorySize";"PagedMemorySize64";"PagedSystemMemorySize";"PagedSystemMemorySize64";"PeakPagedMemorySize";"PeakPagedMemorySize64";"PeakWorkingSet";"PeakWorkingSet64";"PeakVirtualMemorySize";"PeakVirtualMemorySize64";"PriorityBoostEnabled";"PriorityClass";"PrivateMemorySize";"PrivateMemorySize64";"PrivilegedProcessorTime";"ProcessName";"ProcessorAffinity";"Responding";"SessionId";"StartInfo";"StartTime";"SynchronizingObject";"Threads";"TotalProcessorTime";"UserProcessorTime";"VirtualMemorySize";"VirtualMemorySize64";"EnableRaisingEvents";"StandardInput";"StandardOutput";"StandardError";"WorkingSet";"WorkingSet64";"Site";"Container"
"fasta";"19";"39";"49246208";"2256896";"770048";"2984";"C:\Users\tiato\julia_docs\VALIDACION\FASTA\C++\MEMORIA\fasta.exe";;"0,0625";;;;;"Process";"8";;"False";;"2980";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"39";"14076";".";"0";"";"System.Diagnostics.ProcessModule (fasta.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"2984";"2984";"770048";"770048";"36616";"36616";"778240";"778240";"2256896";"2256896";"49532928";"49532928";"True";"Normal";"770048";"770048";"00:00:00.0156250";"fasta";"15";"True";"19";"System.Diagnostics.ProcessStartInfo";"06/12/2020 18:04:06";;"System.Diagnostics.ProcessThreadCollection";"00:00:00.0781250";"00:00:00.0625000";"49246208";"49246208";"False";;;;"2256896";"2256896";;
"fasta";"19";"39";"49246208";"2256896";"770048";"2984";"C:\Users\tiato\julia_docs\VALIDACION\FASTA\C++\MEMORIA\fasta.exe";;"0,109375";;;;;"Process";"8";;"True";;;;"39";"14076";".";"0";"";;;;;"2984";"2984";"770048";"770048";"36616";"36616";"778240";"778240";"2256896";"2256896";"49532928";"49532928";;;"770048";"770048";"00:00:00.0156250";"fasta";;"True";"19";"System.Diagnostics.ProcessStartInfo";"06/12/2020 18:04:06";;"System.Diagnostics.ProcessThreadCollection";"00:00:00.1093750";"00:00:00.0937500";"49246208";"49246208";"False";;;;"2256896";"2256896";;
"fasta";"19";"39";"49246208";"1949696";"466944";"2984";"C:\Users\tiato\julia_docs\VALIDACION\FASTA\C++\MEMORIA\fasta.exe";;"0";;;;;"Process";"8";;"False";;"3056";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"39";"14132";".";"0";"";"System.Diagnostics.ProcessModule (fasta.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"2984";"2984";"466944";"466944";"36712";"36712";"466944";"466944";"1949696";"1949696";"49991680";"49991680";"True";"Normal";"466944";"466944";"00:00:00";"fasta";"15";"True";"19";"System.Diagnostics.ProcessStartInfo";"06/12/2020 18:04:09";;"System.Diagnostics.ProcessThreadCollection";"00:00:00";"00:00:00";"49246208";"49246208";"False";;;;"1949696";"1949696";;
"fasta";"19";"39";"49246208";"2256896";"774144";"2984";"C:\Users\tiato\julia_docs\VALIDACION\FASTA\C++\MEMORIA\fasta.exe";;"0,046875";;;;;"Process";"8";;"False";;"3264";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"39";"14132";".";"0";"";"System.Diagnostics.ProcessModule (fasta.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"2984";"2984";"774144";"774144";"36616";"36616";"782336";"782336";"2256896";"2256896";"49991680";"49991680";"True";"Normal";"774144";"774144";"00:00:00";"fasta";"15";"True";"19";"System.Diagnostics.ProcessStartInfo";"06/12/2020 18:04:09";;"System.Diagnostics.ProcessThreadCollection";"00:00:00.0468750";"00:00:00.0468750";"49246208";"49246208";"False";;;;"2256896";"2256896";;
"fasta";"19";"39";"49246208";"2256896";"774144";"2984";"C:\Users\tiato\julia_docs\VALIDACION\FASTA\C++\MEMORIA\fasta.exe";;"0,125";;;;;"Process";"8";;"False";;"3296";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"39";"14132";".";"0";"";"System.Diagnostics.ProcessModule (fasta.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"2984";"2984";"774144";"774144";"36712";"36712";"782336";"782336";"2256896";"2256896";"49991680";"49991680";"True";"Normal";"774144";"774144";"00:00:00";"fasta";"15";"True";"19";"System.Diagnostics.ProcessStartInfo";"06/12/2020 18:04:09";;"System.Diagnostics.ProcessThreadCollection";"00:00:00.1250000";"00:00:00.1250000";"49246208";"49246208";"False";;;;"2256896";"2256896";;
"fasta";"19";"39";"49246208";"2256896";"774144";"2984";"C:\Users\tiato\julia_docs\VALIDACION\FASTA\C++\MEMORIA\fasta.exe";;"0,1875";;;;;"Process";"8";;"False";;"3332";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"39";"14132";".";"0";"";"System.Diagnostics.ProcessModule (fasta.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"2984";"2984";"774144";"774144";"36616";"36616";"782336";"782336";"2256896";"2256896";"49991680";"49991680";"True";"Normal";"774144";"774144";"00:00:00";"fasta";"15";"True";"19";"System.Diagnostics.ProcessStartInfo";"06/12/2020 18:04:09";;"System.Diagnostics.ProcessThreadCollection";"00:00:00.1875000";"00:00:00.1875000";"49246208";"49246208";"False";;;;"2256896";"2256896";;
"fasta";"19";"39";"49246208";"2256896";"774144";"5032";"C:\Users\tiato\julia_docs\VALIDACION\FASTA\C++\MEMORIA\fasta.exe";;"0,1875";;;;;"Process";"8";;"False";;"2140";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"39";"14132";".";"0";"";"System.Diagnostics.ProcessModule (fasta.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"5032";"5032";"774144";"774144";"36712";"36712";"782336";"782336";"2256896";"2256896";"49991680";"49991680";"True";"Normal";"774144";"774144";"00:00:00";"fasta";"15";"True";"19";"System.Diagnostics.ProcessStartInfo";"06/12/2020 18:04:09";;"System.Diagnostics.ProcessThreadCollection";"00:00:00.1875000";"00:00:00.1875000";"49246208";"49246208";"False";;;;"2256896";"2256896";;
"fasta";"19";"39";"49246208";"1949696";"462848";"2984";"C:\Users\tiato\julia_docs\VALIDACION\FASTA\C++\MEMORIA\fasta.exe";;"0";;;;;"Process";"8";;"False";;"3364";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"39";"12620";".";"0";"";"System.Diagnostics.ProcessModule (fasta.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"2984";"2984";"462848";"462848";"36712";"36712";"462848";"462848";"1949696";"1949696";"49336320";"49336320";"True";"Normal";"462848";"462848";"00:00:00";"fasta";"15";"True";"19";"System.Diagnostics.ProcessStartInfo";"06/12/2020 18:04:09";;"System.Diagnostics.ProcessThreadCollection";"00:00:00";"00:00:00";"49246208";"49246208";"False";;;;"1949696";"1949696";;
"fasta";"19";"39";"49246208";"2256896";"770048";"2984";"C:\Users\tiato\julia_docs\VALIDACION\FASTA\C++\MEMORIA\fasta.exe";;"0,03125";;;;;"Process";"8";;"False";;"3400";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"39";"12620";".";"0";"";"System.Diagnostics.ProcessModule (fasta.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"2984";"2984";"770048";"770048";"36712";"36712";"778240";"778240";"2256896";"2256896";"49336320";"49336320";"True";"Normal";"770048";"770048";"00:00:00";"fasta";"15";"True";"19";"System.Diagnostics.ProcessStartInfo";"06/12/2020 18:04:09";;"System.Diagnostics.ProcessThreadCollection";"00:00:00.0312500";"00:00:00.0312500";"49246208";"49246208";"False";;;;"2256896";"2256896";;
"fasta";"19";"39";"49246208";"2256896";"770048";"2984";"C:\Users\tiato\julia_docs\VALIDACION\FASTA\C++\MEMORIA\fasta.exe";;"0,0625";;;;;"Process";"8";;"False";;"3432";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"39";"12620";".";"0";"";"System.Diagnostics.ProcessModule (fasta.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"2984";"2984";"770048";"770048";"36616";"36616";"778240";"778240";"2256896";"2256896";"49336320";"49336320";"True";"Normal";"770048";"770048";"00:00:00";"fasta";"15";"True";"19";"System.Diagnostics.ProcessStartInfo";"06/12/2020 18:04:09";;"System.Diagnostics.ProcessThreadCollection";"00:00:00.0625000";"00:00:00.0625000";"49246208";"49246208";"False";;;;"2256896";"2256896";;
