#TYPE System.TimeSpan
"Ticks";"Days";"Hours";"Milliseconds";"Minutes";"Seconds";"TotalDays";"TotalHours";"TotalMilliseconds";"TotalMinutes";"TotalSeconds"
"45643036";"0";"0";"564";"0";"4";"5,2827587962963E-05";"0,00126786211111111";"4564,3036";"0,0760717266666667";"4,5643036"
"44425932";"0";"0";"442";"0";"4";"5,14189027777778E-05";"0,00123405366666667";"4442,5932";"0,07404322";"4,4425932"
"43028456";"0";"0";"302";"0";"4";"4,98014537037037E-05";"0,00119523488888889";"4302,8456";"0,0717140933333333";"4,3028456"
"43330221";"0";"0";"333";"0";"4";"5,015071875E-05";"0,00120361725";"4333,0221";"0,072217035";"4,3330221"
"44906147";"0";"0";"490";"0";"4";"5,19747071759259E-05";"0,00124739297222222";"4490,6147";"0,0748435783333333";"4,4906147"
"44934909";"0";"0";"493";"0";"4";"5,20079965277778E-05";"0,00124819191666667";"4493,4909";"0,074891515";"4,4934909"
"45229862";"0";"0";"522";"0";"4";"5,23493773148148E-05";"0,00125638505555556";"4522,9862";"0,0753831033333333";"4,5229862"
"45331804";"0";"0";"533";"0";"4";"5,24673657407407E-05";"0,00125921677777778";"4533,1804";"0,0755530066666667";"4,5331804"
"45371060";"0";"0";"537";"0";"4";"5,25128009259259E-05";"0,00126030722222222";"4537,106";"0,0756184333333333";"4,537106"
"44507015";"0";"0";"450";"0";"4";"5,15127488425926E-05";"0,00123630597222222";"4450,7015";"0,0741783583333333";"4,4507015"
"44670860";"0";"0";"467";"0";"4";"5,17023842592593E-05";"0,00124085722222222";"4467,086";"0,0744514333333333";"4,467086"
"44541042";"0";"0";"454";"0";"4";"5,15521319444444E-05";"0,00123725116666667";"4454,1042";"0,07423507";"4,4541042"
"43532572";"0";"0";"353";"0";"4";"5,03849212962963E-05";"0,00120923811111111";"4353,2572";"0,0725542866666667";"4,3532572"
"43024500";"0";"0";"302";"0";"4";"4,9796875E-05";"0,001195125";"4302,45";"0,0717075";"4,30245"
"43877921";"0";"0";"387";"0";"4";"5,0784630787037E-05";"0,00121883113888889";"4387,7921";"0,0731298683333333";"4,3877921"
"42971971";"0";"0";"297";"0";"4";"4,97360775462963E-05";"0,00119366586111111";"4297,1971";"0,0716199516666667";"4,2971971"
"43621053";"0";"0";"362";"0";"4";"5,04873298611111E-05";"0,00121169591666667";"4362,1053";"0,072701755";"4,3621053"
"43227100";"0";"0";"322";"0";"4";"5,00313657407407E-05";"0,00120075277777778";"4322,71";"0,0720451666666667";"4,32271"
"43755039";"0";"0";"375";"0";"4";"5,064240625E-05";"0,00121541775";"4375,5039";"0,072925065";"4,3755039"
"43581185";"0";"0";"358";"0";"4";"5,04411863425926E-05";"0,00121058847222222";"4358,1185";"0,0726353083333333";"4,3581185"
"43377904";"0";"0";"337";"0";"4";"5,02059074074074E-05";"0,00120494177777778";"4337,7904";"0,0722965066666667";"4,3377904"
"43092082";"0";"0";"309";"0";"4";"4,98750949074074E-05";"0,00119700227777778";"4309,2082";"0,0718201366666667";"4,3092082"
"43629413";"0";"0";"362";"0";"4";"5,0497005787037E-05";"0,00121192813888889";"4362,9413";"0,0727156883333333";"4,3629413"
"43963109";"0";"0";"396";"0";"4";"5,08832280092593E-05";"0,00122119747222222";"4396,3109";"0,0732718483333333";"4,3963109"
"43523549";"0";"0";"352";"0";"4";"5,03744780092593E-05";"0,00120898747222222";"4352,3549";"0,0725392483333333";"4,3523549"
"43461071";"0";"0";"346";"0";"4";"5,03021655092593E-05";"0,00120725197222222";"4346,1071";"0,0724351183333333";"4,3461071"
"43991731";"0";"0";"399";"0";"4";"5,09163553240741E-05";"0,00122199252777778";"4399,1731";"0,0733195516666667";"4,3991731"
"54446791";"0";"0";"444";"0";"5";"6,3017119212963E-05";"0,00151241086111111";"5444,6791";"0,0907446516666667";"5,4446791"
"57424625";"0";"0";"742";"0";"5";"6,64636863425926E-05";"0,00159512847222222";"5742,4625";"0,0957077083333333";"5,7424625"
"43565470";"0";"0";"356";"0";"4";"5,04229976851852E-05";"0,00121015194444444";"4356,547";"0,0726091166666667";"4,356547"
