#TYPE System.Diagnostics.Process
"Name";"SI";"Handles";"VM";"WS";"PM";"NPM";"Path";"Company";"CPU";"FileVersion";"ProductVersion";"Description";"Product";"__NounName";"BasePriority";"ExitCode";"HasExited";"ExitTime";"Handle";"SafeHandle";"HandleCount";"Id";"MachineName";"MainWindowHandle";"MainWindowTitle";"MainModule";"MaxWorkingSet";"MinWorkingSet";"Modules";"NonpagedSystemMemorySize";"NonpagedSystemMemorySize64";"PagedMemorySize";"PagedMemorySize64";"PagedSystemMemorySize";"PagedSystemMemorySize64";"PeakPagedMemorySize";"PeakPagedMemorySize64";"PeakWorkingSet";"PeakWorkingSet64";"PeakVirtualMemorySize";"PeakVirtualMemorySize64";"PriorityBoostEnabled";"PriorityClass";"PrivateMemorySize";"PrivateMemorySize64";"PrivilegedProcessorTime";"ProcessName";"ProcessorAffinity";"Responding";"SessionId";"StartInfo";"StartTime";"SynchronizingObject";"Threads";"TotalProcessorTime";"UserProcessorTime";"VirtualMemorySize";"VirtualMemorySize64";"EnableRaisingEvents";"StandardInput";"StandardOutput";"StandardError";"WorkingSet";"WorkingSet64";"Site";"Container"
"python";"19";"177";"154939392";"22908928";"14811136";"17792";"C:\Users\tiato\anaconda3\python.exe";"Python Software Foundation";"0,28125";"3.8.5";"3.8.5";"Python";"Python";"Process";"8";;"False";;"3280";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"177";"7752";".";"0";"";"System.Diagnostics.ProcessModule (python.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"17792";"17792";"14811136";"14811136";"196264";"196264";"14811136";"14811136";"22908928";"22908928";"154939392";"154939392";"True";"Normal";"14811136";"14811136";"00:00:00.1406250";"python";"15";"True";"19";"System.Diagnostics.ProcessStartInfo";"07/12/2020 3:08:05";;"System.Diagnostics.ProcessThreadCollection";"00:00:00.3437500";"00:00:00.2031250";"154939392";"154939392";"False";;;;"22908928";"22908928";;
"python";"19";"182";"152776704";"22536192";"14499840";"17792";"C:\Users\tiato\anaconda3\python.exe";"Python Software Foundation";"0,375";"3.8.5";"3.8.5";"Python";"Python";"Process";"8";;"False";;"3300";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"182";"8436";".";"0";"";"System.Diagnostics.ProcessModule (python.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"17792";"17792";"14499840";"14499840";"196264";"196264";"14499840";"14499840";"22536192";"22536192";"152776704";"152776704";"True";"Normal";"14499840";"14499840";"00:00:00.1406250";"python";"15";"True";"19";"System.Diagnostics.ProcessStartInfo";"07/12/2020 3:08:05";;"System.Diagnostics.ProcessThreadCollection";"00:00:00.3906250";"00:00:00.2500000";"152776704";"152776704";"False";;;;"22536192";"22536192";;
"python";"19";"179";"154939392";"23052288";"14880768";"17792";"C:\Users\tiato\anaconda3\python.exe";"Python Software Foundation";"0,390625";"3.8.5";"3.8.5";"Python";"Python";"Process";"8";;"False";;"3328";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"179";"12316";".";"0";"";"System.Diagnostics.ProcessModule (python.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"17792";"17792";"14880768";"14880768";"196248";"196248";"14880768";"14880768";"23052288";"23052288";"154939392";"154939392";"True";"Normal";"14880768";"14880768";"00:00:00.2031250";"python";"15";"True";"19";"System.Diagnostics.ProcessStartInfo";"07/12/2020 3:08:05";;"System.Diagnostics.ProcessThreadCollection";"00:00:00.4062500";"00:00:00.2031250";"154939392";"154939392";"False";;;;"23052288";"23052288";;
"python";"19";"208";"481054720";"92786688";"78974976";"46728";"C:\Users\tiato\anaconda3\python.exe";"Python Software Foundation";"2,140625";"3.8.5";"3.8.5";"Python";"Python";"Process";"8";;"False";;"3360";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"208";"13552";".";"0";"";"System.Diagnostics.ProcessModule (python.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"46728";"46728";"78974976";"78974976";"728176";"728176";"80666624";"80666624";"95211520";"95211520";"481054720";"481054720";"True";"Normal";"78974976";"78974976";"00:00:00.6093750";"python";"15";"True";"19";"System.Diagnostics.ProcessStartInfo";"07/12/2020 3:08:03";;"System.Diagnostics.ProcessThreadCollection";"00:00:02.1406250";"00:00:01.5312500";"481054720";"481054720";"False";;;;"92786688";"92786688";;
"python";"19";"182";"215773184";"30355456";"22114304";"21192";"C:\Users\tiato\anaconda3\python.exe";"Python Software Foundation";"0,5625";"3.8.5";"3.8.5";"Python";"Python";"Process";"8";;"False";;"3320";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"182";"7752";".";"0";"";"System.Diagnostics.ProcessModule (python.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"21192";"21192";"22114304";"22114304";"305984";"305984";"22114304";"22114304";"30355456";"30355456";"215773184";"215773184";"True";"Normal";"22114304";"22114304";"00:00:00.2968750";"python";"15";"True";"19";"System.Diagnostics.ProcessStartInfo";"07/12/2020 3:08:05";;"System.Diagnostics.ProcessThreadCollection";"00:00:00.5937500";"00:00:00.2968750";"215773184";"215773184";"False";;;;"30355456";"30355456";;
"python";"19";"183";"215773184";"30507008";"22269952";"21192";"C:\Users\tiato\anaconda3\python.exe";"Python Software Foundation";"0,625";"3.8.5";"3.8.5";"Python";"Python";"Process";"8";;"False";;"3288";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"183";"8436";".";"0";"";"System.Diagnostics.ProcessModule (python.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"21192";"21192";"22269952";"22269952";"305984";"305984";"22269952";"22269952";"30507008";"30507008";"215773184";"215773184";"True";"Normal";"22269952";"22269952";"00:00:00.2812500";"python";"15";"True";"19";"System.Diagnostics.ProcessStartInfo";"07/12/2020 3:08:05";;"System.Diagnostics.ProcessThreadCollection";"00:00:00.6562500";"00:00:00.3750000";"215773184";"215773184";"False";;;;"30507008";"30507008";;
"python";"19";"185";"212869120";"29110272";"21282816";"20376";"C:\Users\tiato\anaconda3\python.exe";"Python Software Foundation";"0,640625";"3.8.5";"3.8.5";"Python";"Python";"Process";"8";;"False";;"3220";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"185";"12316";".";"0";"";"System.Diagnostics.ProcessModule (python.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"20376";"20376";"21282816";"21282816";"305800";"305800";"21282816";"21282816";"29110272";"29110272";"212869120";"212869120";"True";"Normal";"21282816";"21282816";"00:00:00.3437500";"python";"15";"True";"19";"System.Diagnostics.ProcessStartInfo";"07/12/2020 3:08:05";;"System.Diagnostics.ProcessThreadCollection";"00:00:00.6875000";"00:00:00.3437500";"212869120";"212869120";"False";;;;"29110272";"29110272";;
"python";"19";"208";"481054720";"92786688";"78974976";"46728";"C:\Users\tiato\anaconda3\python.exe";"Python Software Foundation";"2,140625";"3.8.5";"3.8.5";"Python";"Python";"Process";"8";;"False";;"3136";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"208";"13552";".";"0";"";"System.Diagnostics.ProcessModule (python.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"46728";"46728";"78974976";"78974976";"728176";"728176";"80666624";"80666624";"95211520";"95211520";"481054720";"481054720";"True";"Normal";"78974976";"78974976";"00:00:00.6093750";"python";"15";"True";"19";"System.Diagnostics.ProcessStartInfo";"07/12/2020 3:08:03";;"System.Diagnostics.ProcessThreadCollection";"00:00:02.1406250";"00:00:01.5312500";"481054720";"481054720";"False";;;;"92786688";"92786688";;
"python";"19";"191";"441528320";"48644096";"43532288";"32616";"C:\Users\tiato\anaconda3\python.exe";"Python Software Foundation";"0,84375";"3.8.5";"3.8.5";"Python";"Python";"Process";"8";;"False";;"3240";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"191";"7752";".";"0";"";"System.Diagnostics.ProcessModule (python.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"32616";"32616";"43532288";"43532288";"711928";"711928";"43532288";"43532288";"48644096";"48644096";"441528320";"441528320";"True";"Normal";"43532288";"43532288";"00:00:00.4531250";"python";"15";"True";"19";"System.Diagnostics.ProcessStartInfo";"07/12/2020 3:08:05";;"System.Diagnostics.ProcessThreadCollection";"00:00:00.9062500";"00:00:00.4375000";"441528320";"441528320";"False";;;;"48644096";"48644096";;
"python";"19";"190";"441556992";"48640000";"43614208";"32616";"C:\Users\tiato\anaconda3\python.exe";"Python Software Foundation";"0,921875";"3.8.5";"3.8.5";"Python";"Python";"Process";"8";;"False";;"3296";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"190";"8436";".";"0";"";"System.Diagnostics.ProcessModule (python.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"32616";"32616";"43614208";"43614208";"711928";"711928";"43614208";"43614208";"48640000";"48640000";"441556992";"441556992";"True";"Normal";"43614208";"43614208";"00:00:00.4218750";"python";"15";"True";"19";"System.Diagnostics.ProcessStartInfo";"07/12/2020 3:08:05";;"System.Diagnostics.ProcessThreadCollection";"00:00:00.9687500";"00:00:00.5468750";"441556992";"441556992";"False";;;;"48640000";"48640000";;
