#TYPE System.TimeSpan;;;;;;;;;;;;;
Ticks;Days;Hours;Milliseconds;Minutes;Seconds;TotalDays;TotalHours;TotalMilliseconds;TotalMinutes;TotalSeconds;;;
276368521;0;0;636;0;27;0,000319871;0,007676903;27636,8521;0,460614202;27,6368521;27,81683711;0,344742754;0,675695797
276127424;0;0;612;0;27;0,000319592;0,007670206;27612,7424;0,460212373;27,6127424;;;
275385229;0;0;538;0;27;0,000318733;0,00764959;27538,5229;0,458975382;27,5385229;;;
290645723;0;0;64;0;28;0,000336396;0,008073492;29064,5723;0,484409538;28,0645723;;;
277405128;0;0;740;0;27;0,000321071;0,007705698;27740,5128;0,46234188;27,7405128;;;
278580100;0;0;858;0;27;0,000322431;0,007738336;27858,01;0,464300167;27,85801;;;
300301347;0;0;30;0;27;0,000347571;0,008341704;30030,1347;0,500502245;27,0301347;;;
278639011;0;0;863;0;27;0,000322499;0,007739973;27863,9011;0,464398352;27,8639011;;;
282828366;0;0;282;0;28;0,000327348;0,007856344;28282,8366;0,47138061;28,2828366;;;
284346358;0;0;434;0;28;0,000329105;0,00789851;28434,6358;0,473910597;28,4346358;;;
283574399;0;0;357;0;28;0,000328211;0,007877067;28357,4399;0,472623998;28,3574399;;;
274890733;0;0;489;0;27;0,000318161;0,007635854;27489,0733;0,458151222;27,4890733;;;
275368419;0;0;536;0;27;0,000318713;0,007649123;27536,8419;0,458947365;27,5368419;;;
275233728;0;0;523;0;27;0,000318558;0,007645381;27523,3728;0,45872288;27,5233728;;;
275592553;0;0;559;0;27;0,000318973;0,007655349;27559,2553;0,459320922;27,5592553;;;
276009254;0;0;600;0;27;0,000319455;0,007666924;27600,9254;0,460015423;27,6009254;;;
278334957;0;0;833;0;27;0,000322147;0,007731527;27833,4957;0,463891595;27,8334957;;;
279938442;0;0;993;0;27;0,000324003;0,007776068;27993,8442;0,46656407;27,9938442;;;
283658446;0;0;365;0;28;0,000328308;0,007879401;28365,8446;0,472764077;28,3658446;;;
291408407;0;0;140;0;27;0,000337278;0,008094678;29140,8407;0,485680678;27,1408407;;;
278848372;0;0;884;0;27;0,000322741;0,007745788;27884,8372;0,464747287;27,8848372;;;
276692183;0;0;669;0;27;0,000320246;0,007685894;27669,2183;0,461153638;27,6692183;;;
276947406;0;0;694;0;27;0,000320541;0,007692984;27694,7406;0,46157901;27,6947406;;;
275502429;0;0;550;0;27;0,000318869;0,007652845;27550,2429;0,459170715;27,5502429;;;
276575518;0;0;657;0;27;0,000320111;0,007682653;27657,5518;0,460959197;27,6575518;;;
278471695;0;0;847;0;27;0,000322305;0,007735325;27847,1695;0,464119492;27,8471695;;;
277743094;0;0;774;0;27;0,000321462;0,007715086;27774,3094;0,462905157;27,7743094;;;
283247135;0;0;324;0;28;0,000327832;0,007867976;28324,7135;0,472078558;28,3247135;;;
283414255;0;0;341;0;28;0,000328026;0,007872618;28341,4255;0,472357092;28,3414255;;;
283507996;0;0;350;0;28;0,000328134;0,007875222;28350,7996;0,472513327;28,3507996;;;
282236826;0;0;223;0;28;0,000326663;0,007839912;28223,6826;0,47039471;28,2236826;;;
279372778;0;0;937;0;27;0,000323348;0,007760355;27937,2778;0,465621297;27,9372778;;;
275804816;0;0;580;0;27;0,000319219;0,007661245;27580,4816;0,459674693;27,5804816;;;
277224657;0;0;722;0;27;0,000320862;0,007700685;27722,4657;0,462041095;27,7224657;;;
277849029;0;0;784;0;27;0,000321585;0,007718029;27784,9029;0,463081715;27,7849029;;;
275986625;0;0;598;0;27;0,000319429;0,007666295;27598,6625;0,459977708;27,5986625;;;
