#TYPE System.TimeSpan
"Ticks";"Days";"Hours";"Milliseconds";"Minutes";"Seconds";"TotalDays";"TotalHours";"TotalMilliseconds";"TotalMinutes";"TotalSeconds"
"56401687";"0";"0";"640";"0";"5";"6,52797303240741E-05";"0,00156671352777778";"5640,1687";"0,0940028116666667";"5,6401687"
"40505325";"0";"0";"50";"0";"4";"4,68811631944444E-05";"0,00112514791666667";"4050,5325";"0,067508875";"4,0505325"
"40229741";"0";"0";"22";"0";"4";"4,65622002314815E-05";"0,00111749280555556";"4022,9741";"0,0670495683333333";"4,0229741"
"39867967";"0";"0";"986";"0";"3";"4,61434803240741E-05";"0,00110744352777778";"3986,7967";"0,0664466116666667";"3,9867967"
"40341004";"0";"0";"34";"0";"4";"4,66909768518519E-05";"0,00112058344444444";"4034,1004";"0,0672350066666667";"4,0341004"
"39853101";"0";"0";"985";"0";"3";"4,61262743055556E-05";"0,00110703058333333";"3985,3101";"0,066421835";"3,9853101"
"39753896";"0";"0";"975";"0";"3";"4,60114537037037E-05";"0,00110427488888889";"3975,3896";"0,0662564933333333";"3,9753896"
"39768977";"0";"0";"976";"0";"3";"4,60289085648148E-05";"0,00110469380555556";"3976,8977";"0,0662816283333333";"3,9768977"
"39738576";"0";"0";"973";"0";"3";"4,59937222222222E-05";"0,00110384933333333";"3973,8576";"0,06623096";"3,9738576"
"39662329";"0";"0";"966";"0";"3";"4,59054733796296E-05";"0,00110173136111111";"3966,2329";"0,0661038816666667";"3,9662329"
"40722925";"0";"0";"72";"0";"4";"4,71330150462963E-05";"0,00113119236111111";"4072,2925";"0,0678715416666667";"4,0722925"
"41954133";"0";"0";"195";"0";"4";"4,85580243055556E-05";"0,00116539258333333";"4195,4133";"0,069923555";"4,1954133"
"40646703";"0";"0";"64";"0";"4";"4,70447951388889E-05";"0,00112907508333333";"4064,6703";"0,067744505";"4,0646703"
"40637052";"0";"0";"63";"0";"4";"4,7033625E-05";"0,001128807";"4063,7052";"0,06772842";"4,0637052"
"47116746";"0";"0";"711";"0";"4";"5,45332708333333E-05";"0,0013087985";"4711,6746";"0,07852791";"4,7116746"
"41048111";"0";"0";"104";"0";"4";"4,75093877314815E-05";"0,00114022530555556";"4104,8111";"0,0684135183333333";"4,1048111"
"40663547";"0";"0";"66";"0";"4";"4,70642905092593E-05";"0,00112954297222222";"4066,3547";"0,0677725783333333";"4,0663547"
"40586069";"0";"0";"58";"0";"4";"4,69746168981481E-05";"0,00112739080555556";"4058,6069";"0,0676434483333333";"4,0586069"
