#TYPE System.TimeSpan;;;;;;;;;;;;;
Ticks;Days;Hours;Milliseconds;Minutes;Seconds;TotalDays;TotalHours;TotalMilliseconds;TotalMinutes;TotalSeconds;;;
39586446;0;0;958;0;3;4,58E-05;0,001099624;3958,6446;0,06597741;3,9586446;4,03858277;0,124501207;0,244022366
39456112;0;0;945;0;3;4,57E-05;0,001096003;3945,6112;0,065760187;3,9456112;;;
39775785;0;0;977;0;3;4,60E-05;0,001104883;3977,5785;0,066292975;3,9775785;;;
39478446;0;0;947;0;3;4,57E-05;0,001096624;3947,8446;0,06579741;3,9478446;;;
39584241;0;0;958;0;3;4,58E-05;0,001099562;3958,4241;0,065973735;3,9584241;;;
39963985;0;0;996;0;3;4,63E-05;0,001110111;3996,3985;0,066606642;3,9963985;;;
39949585;0;0;994;0;3;4,62E-05;0,001109711;3994,9585;0,066582642;3,9949585;;;
41227861;0;0;122;0;4;4,77E-05;0,001145218;4122,7861;0,068713102;4,1227861;;;
41122482;0;0;112;0;4;4,76E-05;0,001142291;4112,2482;0,06853747;4,1122482;;;
42771996;0;0;277;0;4;4,95E-05;0,001188111;4277,1996;0,07128666;4,2771996;;;
42241812;0;0;224;0;4;4,89E-05;0,001173384;4224,1812;0,07040302;4,2241812;;;
43889817;0;0;388;0;4;5,08E-05;0,001219162;4388,9817;0,073149695;4,3889817;;;
41668768;0;0;166;0;4;4,82E-05;0,001157466;4166,8768;0,069447947;4,1668768;;;
42836608;0;0;283;0;4;4,96E-05;0,001189906;4283,6608;0,071394347;4,2836608;;;
39664864;0;0;966;0;3;4,59E-05;0,001101802;3966,4864;0,066108107;3,9664864;;;
40349777;0;0;34;0;4;4,67E-05;0,001120827;4034,9777;0,067249628;4,0349777;;;
40217105;0;0;21;0;4;4,65E-05;0,001117142;4021,7105;0,067028508;4,0217105;;;
40704628;0;0;70;0;4;4,71E-05;0,001130684;4070,4628;0,067841047;4,0704628;;;
41938166;0;0;193;0;4;4,85E-05;0,001164949;4193,8166;0,069896943;4,1938166;;;
39920721;0;0;992;0;3;4,62E-05;0,001108909;3992,0721;0,066534535;3,9920721;;;
39623211;0;0;962;0;3;4,59E-05;0,001100645;3962,3211;0,066038685;3,9623211;;;
39439862;0;0;943;0;3;4,56E-05;0,001095552;3943,9862;0,065733103;3,9439862;;;
39432317;0;0;943;0;3;4,56E-05;0,001095342;3943,2317;0,065720528;3,9432317;;;
39565030;0;0;956;0;3;4,58E-05;0,001099029;3956,503;0,065941717;3,956503;;;
39243899;0;0;924;0;3;4,54E-05;0,001090108;3924,3899;0,065406498;3,9243899;;;
39669380;0;0;966;0;3;4,59E-05;0,001101927;3966,938;0,066115633;3,966938;;;
39392807;0;0;939;0;3;4,56E-05;0,001094245;3939,2807;0,065654678;3,9392807;;;
39707096;0;0;970;0;3;4,60E-05;0,001102975;3970,7096;0,066178493;3,9707096;;;
39507820;0;0;950;0;3;4,57E-05;0,001097439;3950,782;0,065846367;3,950782;;;
39644204;0;0;964;0;3;4,59E-05;0,001101228;3964,4204;0,066073673;3,9644204;;;
