#TYPE System.TimeSpan;;;;;;;;;;;;;;
Ticks;Days;Hours;Milliseconds;Minutes;Seconds;TotalDays;TotalHours;TotalMilliseconds;TotalMinutes;TotalSeconds;;;;
8710005;0;0;871;0;0;1,01E-05;0,000241945;871,0005;0,014516675;0,8710005;;0,8746818;0,030399464;0,059582949
8590055;0;0;859;0;0;9,94E-06;0,000238613;859,0055;0,014316758;0,8590055;;;;
8667129;0;0;866;0;0;1,00E-05;0,000240754;866,7129;0,014445215;0,8667129;;;;
8880801;0;0;888;0;0;1,03E-05;0,000246689;888,0801;0,014801335;0,8880801;;;;
8924121;0;0;892;0;0;1,03E-05;0,000247892;892,4121;0,014873535;0,8924121;;;;
9075392;0;0;907;0;0;1,05E-05;0,000252094;907,5392;0,015125653;0,9075392;;;;
9590150;0;0;959;0;0;1,11E-05;0,000266393;959,015;0,015983583;0,959015;;;;
9567792;0;0;956;0;0;1,11E-05;0,000265772;956,7792;0,01594632;0,9567792;;;;
9192595;0;0;919;0;0;1,06E-05;0,00025535;919,2595;0,015320992;0,9192595;;;;
8698560;0;0;869;0;0;1,01E-05;0,000241627;869,856;0,0144976;0,869856;;;;
8634452;0;0;863;0;0;9,99E-06;0,000239846;863,4452;0,014390753;0,8634452;;;;
8776097;0;0;877;0;0;1,02E-05;0,00024378;877,6097;0,014626828;0,8776097;;;;
9139531;0;0;913;0;0;1,06E-05;0,000253876;913,9531;0,015232552;0,9139531;;;;
8733200;0;0;873;0;0;1,01E-05;0,000242589;873,32;0,014555333;0,87332;;;;
8658150;0;0;865;0;0;1,00E-05;0,000240504;865,815;0,01443025;0,865815;;;;
8551459;0;0;855;0;0;9,90E-06;0,000237541;855,1459;0,014252432;0,8551459;;;;
8639369;0;0;863;0;0;1,00E-05;0,000239982;863,9369;0,014398948;0,8639369;;;;
8643458;0;0;864;0;0;1,00E-05;0,000240096;864,3458;0,014405763;0,8643458;;;;
8598586;0;0;859;0;0;9,95E-06;0,00023885;859,8586;0,014330977;0,8598586;;;;
8387126;0;0;838;0;0;9,71E-06;0,000232976;838,7126;0,013978543;0,8387126;;;;
8626686;0;0;862;0;0;9,98E-06;0,00023963;862,6686;0,01437781;0,8626686;;;;
8465391;0;0;846;0;0;9,80E-06;0,00023515;846,5391;0,014108985;0,8465391;;;;
8563190;0;0;856;0;0;9,91E-06;0,000237866;856,319;0,014271983;0,856319;;;;
8466526;0;0;846;0;0;9,80E-06;0,000235181;846,6526;0,014110877;0,8466526;;;;
8670208;0;0;867;0;0;1,00E-05;0,000240839;867,0208;0,014450347;0,8670208;;;;
8464952;0;0;846;0;0;9,80E-06;0,000235138;846,4952;0,014108253;0,8464952;;;;
8696687;0;0;869;0;0;1,01E-05;0,000241575;869,6687;0,014494478;0,8696687;;;;
8400014;0;0;840;0;0;9,72E-06;0,000233334;840,0014;0,014000023;0,8400014;;;;
8646040;0;0;864;0;0;1,00E-05;0,000240168;864,604;0,014410067;0,864604;;;;
