#TYPE System.TimeSpan;;;;;;;;;;;;;;
Ticks;Days;Hours;Milliseconds;Minutes;Seconds;TotalDays;TotalHours;TotalMilliseconds;TotalMinutes;TotalSeconds;;;;
97568522;0;0;756;0;9;0,000112927;0,002710237;9756,8522;0,162614203;9,7568522;;9,787703471;0,050045434;0,09808905
97386875;0;0;738;0;9;0,000112716;0,002705191;9738,6875;0,162311458;9,7386875;;;;
97170308;0;0;717;0;9;0,000112466;0,002699175;9717,0308;0,161950513;9,7170308;;;;
97766591;0;0;776;0;9;0,000113156;0,002715739;9776,6591;0,162944318;9,7766591;;;;
97549949;0;0;754;0;9;0,000112905;0,002709721;9754,9949;0,162583248;9,7549949;;;;
97551933;0;0;755;0;9;0,000112907;0,002709776;9755,1933;0,162586555;9,7551933;;;;
98850509;0;0;885;0;9;0,00011441;0,002745847;9885,0509;0,164750848;9,8850509;;;;
97882407;0;0;788;0;9;0,00011329;0,002718956;9788,2407;0,163137345;9,7882407;;;;
98378393;0;0;837;0;9;0,000113864;0,002732733;9837,8393;0,163963988;9,8378393;;;;
97329049;0;0;732;0;9;0,000112649;0,002703585;9732,9049;0,162215082;9,7329049;;;;
98518738;0;0;851;0;9;0,000114026;0,002736632;9851,8738;0,164197897;9,8518738;;;;
97658537;0;0;765;0;9;0,000113031;0,002712737;9765,8537;0,162764228;9,7658537;;;;
98166646;0;0;816;0;9;0,000113619;0,002726851;9816,6646;0,163611077;9,8166646;;;;
98171638;0;0;817;0;9;0,000113625;0,00272699;9817,1638;0,163619397;9,8171638;;;;
97775336;0;0;777;0;9;0,000113166;0,002715982;9777,5336;0,162958893;9,7775336;;;;
97733587;0;0;773;0;9;0,000113118;0,002714822;9773,3587;0,162889312;9,7733587;;;;
98583596;0;0;858;0;9;0,000114101;0,002738433;9858,3596;0,164305993;9,8583596;;;;
97435162;0;0;743;0;9;0,000112772;0,002706532;9743,5162;0,162391937;9,7435162;;;;
98319195;0;0;831;0;9;0,000113795;0,002731089;9831,9195;0,163865325;9,8319195;;;;
97658590;0;0;765;0;9;0,000113031;0,002712739;9765,859;0,162764317;9,765859;;;;
98866050;0;0;886;0;9;0,000114428;0,002746279;9886,605;0,16477675;9,886605;;;;
97845245;0;0;784;0;9;0,000113247;0,002717923;9784,5245;0,163075408;9,7845245;;;;
97445970;0;0;744;0;9;0,000112785;0,002706833;9744,597;0,16240995;9,744597;;;;
97286986;0;0;728;0;9;0,000112601;0,002702416;9728,6986;0,162144977;9,7286986;;;;
98926457;0;0;892;0;9;0,000114498;0,002747957;9892,6457;0,164877428;9,8926457;;;;
97389317;0;0;738;0;9;0,000112719;0,002705259;9738,9317;0,162315528;9,7389317;;;;
97692608;0;0;769;0;9;0,00011307;0,002713684;9769,2608;0,162821013;9,7692608;;;;
97813251;0;0;781;0;9;0,00011321;0,002717035;9781,3251;0,163022085;9,7813251;;;;
98327120;0;0;832;0;9;0,000113805;0,002731309;9832,712;0,163878533;9,832712;;;;
97377495;0;0;737;0;9;0,000112705;0,00270493;9737,7495;0,162295825;9,7377495;;;;
97762016;0;0;776;0;9;0,00011315;0,002715612;9776,2016;0,162936693;9,7762016;;;;
