#TYPE System.TimeSpan
"Ticks";"Days";"Hours";"Milliseconds";"Minutes";"Seconds";"TotalDays";"TotalHours";"TotalMilliseconds";"TotalMinutes";"TotalSeconds"
"455152260";"0";"0";"515";"0";"45";"0,000526796597222222";"0,0126431183333333";"45515,226";"0,7585871";"45,515226"
"1044523660";"0";"0";"452";"1";"44";"0,0012089394212963";"0,0290145461111111";"104452,366";"1,74087276666667";"104,452366"
"1055713190";"0";"0";"571";"1";"45";"0,0012218902662037";"0,0293253663888889";"105571,319";"1,75952198333333";"105,571319"
"1051698403";"0";"0";"169";"1";"45";"0,00121724352199074";"0,0292138445277778";"105169,8403";"1,75283067166667";"105,1698403"
"1091957230";"0";"0";"195";"1";"49";"0,00126383938657407";"0,0303321452777778";"109195,723";"1,81992871666667";"109,195723"
"1056715086";"0";"0";"671";"1";"45";"0,00122304986805556";"0,0293531968333333";"105671,5086";"1,76119181";"105,6715086"
"1050513125";"0";"0";"51";"1";"45";"0,0012158716724537";"0,0291809201388889";"105051,3125";"1,75085520833333";"105,0513125"
"1110356449";"0";"0";"35";"1";"51";"0,00128513477893519";"0,0308432346944444";"111035,6449";"1,85059408166667";"111,0356449"
"1013739180";"0";"0";"373";"1";"41";"0,00117330923611111";"0,0281594216666667";"101373,918";"1,6895653";"101,373918"
"1051395765";"0";"0";"139";"1";"45";"0,00121689324652778";"0,0292054379166667";"105139,5765";"1,752326275";"105,1395765"
"1057671410";"0";"0";"767";"1";"45";"0,00122415672453704";"0,0293797613888889";"105767,141";"1,76278568333333";"105,767141"
"1046719263";"0";"0";"671";"1";"44";"0,00121148062847222";"0,0290755350833333";"104671,9263";"1,744532105";"104,6719263"
"1017429853";"0";"0";"742";"1";"41";"0,00117758084837963";"0,0282619403611111";"101742,9853";"1,69571642166667";"101,7429853"
"1025779618";"0";"0";"577";"1";"42";"0,00118724492824074";"0,0284938782777778";"102577,9618";"1,70963269666667";"102,5779618"
"1081932953";"0";"0";"193";"1";"48";"0,00125223721412037";"0,0300536931388889";"108193,2953";"1,80322158833333";"108,1932953"
"1056527589";"0";"0";"652";"1";"45";"0,00122283285763889";"0,0293479885833333";"105652,7589";"1,760879315";"105,6527589"
"1034927709";"0";"0";"492";"1";"43";"0,00119783299652778";"0,0287479919166667";"103492,7709";"1,724879515";"103,4927709"
"1091449647";"0";"0";"144";"1";"49";"0,00126325190625";"0,03031804575";"109144,9647";"1,819082745";"109,1449647"
"1045584610";"0";"0";"558";"1";"44";"0,00121016737268519";"0,0290440169444444";"104558,461";"1,74264101666667";"104,558461"
"1064811610";"0";"0";"481";"1";"46";"0,00123242084490741";"0,0295781002777778";"106481,161";"1,77468601666667";"106,481161"
"1056071658";"0";"0";"607";"1";"45";"0,00122230515972222";"0,0293353238333333";"105607,1658";"1,76011943";"105,6071658"
"1015268203";"0";"0";"526";"1";"41";"0,00117507893865741";"0,0282018945277778";"101526,8203";"1,69211367166667";"101,5268203"
"1058145143";"0";"0";"814";"1";"45";"0,00122470502662037";"0,0293929206388889";"105814,5143";"1,76357523833333";"105,8145143"
"1052177841";"0";"0";"217";"1";"45";"0,00121779842708333";"0,02922716225";"105217,7841";"1,753629735";"105,2177841"
"1041289590";"0";"0";"128";"1";"44";"0,00120519628472222";"0,0289247108333333";"104128,959";"1,73548265";"104,128959"
"1022031163";"0";"0";"203";"1";"42";"0,00118290643865741";"0,0283897545277778";"102203,1163";"1,70338527166667";"102,2031163"
"1029457593";"0";"0";"945";"1";"42";"0,00119150184375";"0,02859604425";"102945,7593";"1,715762655";"102,9457593"
"1059755973";"0";"0";"975";"1";"45";"0,00122656941319444";"0,0294376659166667";"105975,5973";"1,766259955";"105,9755973"
"1049661051";"0";"0";"966";"1";"44";"0,00121488547569444";"0,0291572514166667";"104966,1051";"1,749435085";"104,9661051"
"1086673168";"0";"0";"667";"1";"48";"0,00125772357407407";"0,0301853657777778";"108667,3168";"1,81112194666667";"108,6673168"
"1034840449";"0";"0";"484";"1";"43";"0,00119773200115741";"0,0287455680277778";"103484,0449";"1,72473408166667";"103,4840449"
