#TYPE System.TimeSpan;;;;;;;;;;;;;
Ticks;Days;Hours;Milliseconds;Minutes;Seconds;TotalDays;TotalHours;TotalMilliseconds;TotalMinutes;TotalSeconds;;;
90329179;0;0;32;0;9;0,000104548;0,002509144;9032,9179;0,150548632;9,0329179;9,047700537;0,070865769;0,138896908
92765085;0;0;276;0;9;0,000107367;0,002576808;9276,5085;0,154608475;9,2765085;;;
89846940;0;0;984;0;8;0,00010399;0,002495748;8984,694;0,1497449;8,984694;;;
89974711;0;0;997;0;8;0,000104137;0,002499298;8997,4711;0,149957852;8,9974711;;;
90251253;0;0;25;0;9;0,000104457;0,002506979;9025,1253;0,150418755;9,0251253;;;
91118987;0;0;111;0;9;0,000105462;0,002531083;9111,8987;0,151864978;9,1118987;;;
89565285;0;0;956;0;8;0,000103664;0,002487925;8956,5285;0,149275475;8,9565285;;;
90266337;0;0;26;0;9;0,000104475;0,002507398;9026,6337;0,150443895;9,0266337;;;
89918326;0;0;991;0;8;0,000104072;0,002497731;8991,8326;0,149863877;8,9918326;;;
90159640;0;0;15;0;9;0,000104351;0,002504434;9015,964;0,150266067;9,015964;;;
91518831;0;0;151;0;9;0,000105925;0,00254219;9151,8831;0,152531385;9,1518831;;;
90612340;0;0;61;0;9;0,000104875;0,002517009;9061,234;0,151020567;9,061234;;;
90172021;0;0;17;0;9;0,000104366;0,002504778;9017,2021;0,150286702;9,0172021;;;
90965613;0;0;96;0;9;0,000105284;0,002526823;9096,5613;0,151609355;9,0965613;;;
90314027;0;0;31;0;9;0,00010453;0,002508723;9031,4027;0,150523378;9,0314027;;;
89829406;0;0;982;0;8;0,000103969;0,002495261;8982,9406;0,149715677;8,9829406;;;
89633872;0;0;963;0;8;0,000103743;0,00248983;8963,3872;0,149389787;8,9633872;;;
90366304;0;0;36;0;9;0,000104591;0,002510175;9036,6304;0,150610507;9,0366304;;;
91308478;0;0;130;0;9;0,000105681;0,002536347;9130,8478;0,152180797;9,1308478;;;
90715383;0;0;71;0;9;0,000104995;0,002519872;9071,5383;0,151192305;9,0715383;;;
90021941;0;0;2;0;9;0,000104192;0,002500609;9002,1941;0,150036568;9,0021941;;;
90163335;0;0;16;0;9;0,000104356;0,002504537;9016,3335;0,150272225;9,0163335;;;
90106588;0;0;10;0;9;0,00010429;0,002502961;9010,6588;0,150177647;9,0106588;;;
90962702;0;0;96;0;9;0,000105281;0,002526742;9096,2702;0,151604503;9,0962702;;;
89768237;0;0;976;0;8;0,000103898;0,002493562;8976,8237;0,149613728;8,9768237;;;
90195104;0;0;19;0;9;0,000104392;0,00250542;9019,5104;0,150325173;9,0195104;;;
91979424;0;0;197;0;9;0,000106458;0,002554984;9197,9424;0,15329904;9,1979424;;;
90351280;0;0;35;0;9;0,000104573;0,002509758;9035,128;0,150585467;9,035128;;;
90519609;0;0;51;0;9;0,000104768;0,002514434;9051,9609;0,150866015;9,0519609;;;
90609923;0;0;60;0;9;0,000104873;0,002516942;9060,9923;0,151016538;9,0609923;;;
